word1,word2,similarity_type,relation
gain,derive,direct,synonym
significant,insignificant,direct,antonym
shell,horseshoe,direct,hyponym
crisis,depression,direct,hyponym
asset,liability,direct,antonym
myriad,uncounted,direct,synonym
imp,child,direct,hypernym
mourned,observe,direct,hypernym
fluctuating,swing,direct,hypernym
breakaway,fissiparous,direct,synonym
escalates,redouble,direct,hyponym
cater,underlay,direct,hyponym
equates,correspond,direct,synonym
crystallize,enlighten,direct,synonym
seeding,spill,direct,hypernym
musing,premeditate,direct,hyponym
separation,isolation,direct,hyponym
telling,singing,direct,synonym
feeling,palpate,direct,synonym
chortled,chuckle,direct,synonym
mother,sire,direct,synonym
physiotherapy,therapy,direct,hypernym
bustling,bustling,direct,synonym
deviant,pedophile,direct,hyponym
elan,flair,direct,synonym
circulates,run,direct,hypernym
attack,flack,direct,synonym
pouting,mow,direct,synonym
color,verisimilitude,direct,hyponym
bummed,grub,direct,synonym
echo,bong,direct,hyponym
corn,moonshine,direct,hyponym
document,communication,direct,hypernym
taked,whisk,direct,hyponym
envisaging,envisage,direct,synonym
used,misapply,direct,hyponym
weed,smoke,direct,synonym
muscadet,muscadet,direct,synonym
jazz,bonk,direct,synonym
reigned,govern,direct,hypernym
symptomless,asymptomatic,direct,synonym
tickling,titillation,direct,synonym
fastball,slider,direct,hyponym
sids,sids,direct,synonym
barker,barker,direct,synonym
treat,handle,direct,synonym
reintroducing,introduce,direct,hypernym
brained,brain,direct,synonym
degree,quickening,direct,hyponym
choirmaster,cantor,direct,synonym
sneaking,pussyfoot,direct,synonym
fulfilment,fulfillment,direct,synonym
commingle,conflate,direct,synonym
carabiner,karabiner,direct,synonym
persistent,lasting,direct,synonym
landscape,genre,direct,hypernym
letting,trust,direct,hyponym
nextest,succeeding,direct,synonym
interchanged,trade,direct,hyponym
decide,regulate,direct,hyponym
baldes,bald,direct,synonym
tackier,flashy,direct,synonym
protrusion,jutting,direct,synonym
robin,robin,direct,synonym
raft,flock,direct,synonym
visualize,envision,direct,synonym
vitriolic,bitter,direct,synonym
brassiest,barefaced,direct,synonym
shoebox,shoebox,direct,synonym
epitome,model,direct,hypernym
pentobarbital,barbiturate,direct,hypernym
got,scram,direct,synonym
glance,look,direct,hypernym
grubbing,sponge,direct,synonym
yen,pine,direct,synonym
workshop,workplace,direct,hypernym
pressing,exhort,direct,synonym
castration,castration,direct,synonym
making,moviemaking,direct,hyponym
detain,check,direct,hypernym
order,arrangement,direct,hypernym
paprika,pimento,direct,synonym
use,ritual,direct,hyponym
strike,excise,direct,synonym
altered,flatten,direct,hyponym
expressed,convey,direct,synonym
cuckoo,cuckoo,direct,synonym
greying,color,direct,hypernym
slue,slide,direct,synonym
outnumber,outnumber,direct,synonym
pudding,pudding,direct,synonym
possibility,speculation,direct,hyponym
serological,serological,direct,synonym
objector,contestant,direct,synonym
wearying,outwear,direct,synonym
obscured,overshadow,direct,hyponym
rewords,translate,direct,hyponym
retold,quote,direct,hyponym
sunken,sink,direct,synonym
prepares,provide,direct,hyponym
recruited,recruit,direct,synonym
altering,emulsify,direct,hyponym
avers,say,direct,synonym
invite,see,direct,hyponym
incise,worry,direct,hyponym
yell,scream,direct,synonym
recites,say,direct,hyponym
fireplace,hearth,direct,synonym
bankrolling,fund,direct,hypernym
countryman,compatriot,direct,hypernym
attached,bond,direct,synonym
organizes,engineer,direct,synonym
resistant,resistive,direct,synonym
consideration,contemplation,direct,hyponym
chaw,chaw,direct,synonym
dull,obtuse,direct,synonym
vino,varietal,direct,hyponym
benefiting,profit,direct,synonym
representation,theatrical,direct,synonym
capo,capo,direct,synonym
brahma,bovine,direct,hypernym
scoots,dash,direct,synonym
populated,camp,direct,hyponym
lump,chunk,direct,synonym
changing,separate,direct,hyponym
bathhouse,bathhouse,direct,synonym
approach,timing,direct,hypernym
varnish,varnish,direct,synonym
slushed,sound,direct,hypernym
individual,longer,direct,hyponym
blouse,shirtwaist,direct,hyponym
offence,rollback,direct,hyponym
smooch,spoon,direct,synonym
panorama,coast,direct,hyponym
forgo,antedate,direct,synonym
ferment,work,direct,synonym
internationalism,internationality,direct,synonym
reconciling,resign,direct,synonym
crystallize,crystalize,direct,synonym
puff,toke,direct,hyponym
persuaded,hustle,direct,hyponym
pixilated,impish,direct,synonym
hurtles,riposte,direct,hyponym
change,twinkle,direct,hyponym
modify,still,direct,hyponym
discharged,fester,direct,hyponym
set,charge,direct,hyponym
bakery,patisserie,direct,hyponym
woodland,land,direct,hypernym
typewriting,typing,direct,synonym
tense,progressive,direct,hyponym
solitude,isolation,direct,hypernym
jimmied,jimmy,direct,synonym
taked,require,direct,synonym
clerisy,culturati,direct,hyponym
electrum,alloy,direct,hypernym
jibed,gibe,direct,synonym
midwife,midwife,direct,synonym
checklist,list,direct,hypernym
salmagundi,assortment,direct,synonym
subversive,revolutionist,direct,synonym
checking,defend,direct,hypernym
gimped,hitch,direct,synonym
underwrite,undertake,direct,hypernym
meditate,ponder,direct,synonym
correct,punish,direct,hypernym
pigeonhole,stamp,direct,synonym
toughens,season,direct,hyponym
unshielded,unshielded,direct,synonym
lied,orient,direct,hyponym
din,ruction,direct,synonym
reach,culminate,direct,hyponym
yack,prate,direct,hyponym
furnish,fund,direct,hyponym
walkes,stride,direct,hyponym
skive,skive,direct,synonym
exude,gum,direct,hyponym
cloth,tammy,direct,hyponym
dialing,dial,direct,synonym
certifies,attest,direct,synonym
swarm,stream,direct,synonym
mouthed,bark,direct,hyponym
agonising,pain,direct,hypernym
quality,attraction,direct,hyponym
scission,cut,direct,hypernym
guardian,keeper,direct,hyponym
mer,k,direct,synonym
tripling,hit,direct,hypernym
intercept,intercept,direct,synonym
mightily,mightily,direct,synonym
supernatant,liquid,direct,hypernym
quat,cat,direct,synonym
straight,true,direct,synonym
colored,mottle,direct,hyponym
clavicle,collarbone,direct,synonym
hiting,ace,direct,hyponym
biped,quadruped,direct,antonym
transmitted,sportscast,direct,hyponym
excluded,bounce,direct,hyponym
providing,stint,direct,hyponym
context,context,direct,synonym
exchange,commutation,direct,synonym
megrim,headache,direct,hypernym
fledgeling,freshman,direct,synonym
potto,lemur,direct,hypernym
restroom,toilet,direct,hypernym
manoeuver,jockey,direct,hyponym
outfitted,collar,direct,hyponym
spleen,irascibility,direct,synonym
tee,connect,direct,hypernym
reeled,spin,direct,synonym
gliding,plane,direct,hyponym
huger,vast,direct,synonym
decently,decent,direct,synonym
recapitulating,recapitulate,direct,synonym
rendered,wharf,direct,hyponym
content,respect,direct,hyponym
differentiate,separate,direct,synonym
methuselah,oldster,direct,hypernym
coastland,coastland,direct,synonym
presented,demonstrate,direct,synonym
droop,swag,direct,synonym
crashing,crash,direct,synonym
federalizing,unify,direct,hypernym
promise,forecast,direct,hyponym
taste,sensation,direct,hypernym
strike,ping,direct,hyponym
disparagement,aspersion,direct,hyponym
grasped,comprehend,direct,synonym
cultivated,tame,direct,synonym
founding,build,direct,hyponym
enmity,animosity,direct,hyponym
division,beginning,direct,hyponym
waxwing,waxwing,direct,synonym
makeing,scrape,direct,hyponym
barracuda,barracuda,direct,synonym
silvered,color,direct,hypernym
volta,volta,direct,synonym
twisting,turn,direct,synonym
be,bake,direct,hyponym
prance,walk,direct,hypernym
craftsmanship,craftsmanship,direct,synonym
noesis,structure,direct,hyponym
promote,push,direct,synonym
prattle,tattle,direct,synonym
togging,raiment,direct,synonym
washout,wash,direct,synonym
obstetrician,obstetrician,direct,synonym
restructures,reconstitute,direct,synonym
garish,loud,direct,synonym
regulate,influence,direct,synonym
dissension,disunity,direct,hyponym
stringing,change,direct,hypernym
antitumor,antitumor,direct,synonym
hillbilly,rustic,direct,hypernym
widest,wide,direct,synonym
roughneck,bullyboy,direct,hyponym
doe,energy,direct,synonym
